0.946 ± 0.000,[0.94584639],beta 0.6,temperature 1,nfactor 5,nhidden 64,nembed 32,layer 1,dataset year,sub_dataset Amherst41,run 1,epochs 2000,lr 0.001,miniid 0,m 5
0.921 ± 0.000,[0.92099463 ,0.92190892,],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.930 ± 0.002,[0.92796524 ,0.93257877,],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.941 ± 0.001,[0.94031235 ,0.94151563,],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.941 ± 0.000,[0.94098675 ,0.94047441,],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.945 ± 0.002,[0.94326833 ,0.94703921,],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.950 ± 0.002,[0.94785134 ,0.95178235,],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.950 ± 0.002,[0.95119097 ,0.94799103,],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.947 ± 0.003,[0.94417978 ,0.95007004,],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.948 ± 0.001,[0.94693411 ,0.94848325,],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 8,m 5
0.919 ± 0.000,[0.91867971 ,0.91964895,],beta 0.1,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.935 ± 0.000,[0.93483896 ,0.93431225,],beta 0.2,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.941 ± 0.006,[0.94653013 ,0.93462106,],beta 0.3,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.946 ± 0.001,[0.94460509 ,0.94695661,],beta 0.4,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.945 ± 0.000,[0.94471548 ,0.94447325,],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.947 ± 0.002,[0.94903859 ,0.94492314,],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.951 ± 0.002,[0.94937818 ,0.95338415,],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.948 ± 0.002,[0.94647808 ,0.94997944,],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.950 ± 0.001,[0.94902343 ,0.95197244,],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 2,epochs 2000,lr 0.001,miniid 9,m 5
0.951 ± 0.002,[0.94700513 0.95186404 0.95191366 0.95115915 0.95364978],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 0,m 5
0.947 ± 0.004,[0.93959499 0.95055467 0.94893564 0.94988728 0.94807135],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 1,m 5
0.950 ± 0.002,[0.9508675  0.94817308 0.95448201 0.94771649 0.95110928],beta 0.9,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 2,m 5
0.952 ± 0.001,[0.9512819  0.95250952 0.95231363 0.95362348 0.95091611],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 3,m 5
0.951 ± 0.002,[0.95258781 0.95121928 0.94809231 0.950257   0.95245152],beta 0.5,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 4,m 5
0.951 ± 0.003,[0.94907288 0.94855239 0.94873934 0.95725937 0.95159145],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 5,m 5
0.947 ± 0.002,[0.94965386 0.94275351 0.94876613 0.94608159 0.94792134],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 6,m 5
0.952 ± 0.003,[0.95099126 0.95639122 0.95387212 0.94700026 0.95385558],beta 0.8,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 7,m 5
0.949 ± 0.002,[0.9515348  0.95093998 0.94473791 0.95088583 0.94937995],beta 0.6,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 8,m 5
0.949 ± 0.003,[0.94446263 0.95338748 0.94559041 0.94885952 0.95201841],beta 0.7,temperature 1,nfactor 5,nhidden 256,nembed 32,layer 1,dataset year,sub_dataset TW,run 5,epochs 2000,lr 0.001,miniid 9,m 5
